Type,Qualifier,Name,Systematic_Name,Chromosome,Start,End
ORF,Verified,Functionally Related to TCP1,YAL028W,chrI,92900,94486
CDS,,,,chrI,92900,94486
ORF,Verified,Single-strand Annealing Weakened,YAL027W,chrI,94687,95472
CDS,,,,chrI,94687,95472
ORF,Dubious,,YAL026C-A,chrI,95386,95823
CDS,,,,chrI,95386,95823
ORF,Verified,Deficiency of Ribosomal Subunits,YAL026C,chrI,95630,99697
CDS,,,,chrI,95630,99697
ncRNA gene,,Hidden in Region Antisense,YNCA0001W,chrI,99305,99868
noncoding_exon,,,,chrI,99305,99868
ORF,Verified,MAintenance of Killer,YAL025C,chrI,100225,101145
CDS,,,,chrI,100225,101145
ORF,Verified,Low Temperature Essential,YAL024C,chrI,101565,105872
CDS,,,,chrI,101565,105872
ORF,Verified,Protein O-MannosylTransferase,YAL023C,chrI,106272,108551
CDS,,,,chrI,106272,108551
ORF,Verified,Function Unknown Now,YAL022C,chrI,108877,110430
CDS,,,,chrI,108877,110430
ORF,Verified,Carbon Catabolite Repression,YAL021C,chrI,110846,113359
CDS,,,,chrI,110846,113359
ORF,Verified,Alpha Tubulin Suppressor,YAL020C,chrI,113614,114615
CDS,,,,chrI,113614,114615
ORF,Dubious,,YAL019W-A,chrI,114250,114819
CDS,,,,chrI,114250,114819
ORF,Verified,Function Unknown Now,YAL019W,chrI,114919,118314
CDS,,,,chrI,114919,118314
ORF,Verified,Lipid Droplets in Sporulation,YAL018C,chrI,118564,119541
CDS,,,,chrI,118564,119541
ORF,Verified,Pas domain-containing Serine/threonine protein Kinase,YAL017W,chrI,120225,124295
CDS,,,,chrI,120225,124295
ORF,Dubious,,YAL016C-B,chrI,124307,124492
CDS,,,,chrI,124307,124492
ARS,,,ARS107,chrI,124349,124597
ARS_consensus_sequence,,,,chrI,124463,124479
ORF,Dubious,,YAL016C-A,chrI,124755,125069
CDS,,,,chrI,124755,125069
ORF,Verified,tRNA Processing Deficient,YAL016W,chrI,124879,126786
CDS,,,,chrI,124879,126786
ORF,Verified,eNdonuclease Three-like Glycosylase,YAL015C,chrI,126903,128102
CDS,,,,chrI,126903,128102
ORF,Verified,SYNtaxin,YAL014C,chrI,128252,129019
CDS,,,,chrI,128252,129019
ORF,Verified,Disability in regulation of Expression of genes involved in Phospholipid biosynthesis,YAL013W,chrI,129270,130487
CDS,,,,chrI,129270,130487
ORF,Verified,CYStathionine gamma-lyase,YAL012W,chrI,130799,131983
CDS,,,,chrI,130799,131983
ORF,Verified,SWr Complex,YAL011W,chrI,132199,134076
CDS,,,,chrI,132199,134076
ORF,Verified,Mitochondrial Distribution and Morphology,YAL010C,chrI,134184,135665
CDS,,,,chrI,134184,135665
ORF,Verified,SPOrulation,YAL009W,chrI,135854,136633
CDS,,,,chrI,135854,136633
ORF,Verified,Function Unknown Now,YAL008W,chrI,136914,137510
CDS,,,,chrI,136914,137510
ORF,Verified,Emp24p/Erv25p Related Protein,YAL007C,chrI,137698,138345
CDS,,,,chrI,137698,138345
long terminal repeat,,,YALCdelta2,chrI,138831,138992
tRNA gene,,TRNA,YNCA0002W,chrI,139152,139254
noncoding_exon,,,,chrI,139152,139187
intron,,,,chrI,139188,139218
noncoding_exon,,,,chrI,139219,139254
ORF,Verified,Stress-Seventy subfamily A,YAL005C,chrI,139503,141431
CDS,,,,chrI,139503,141431
ORF,Dubious,,YAL004W,chrI,140760,141407
CDS,,,,chrI,140760,141407
ORF,Verified,Elongation Factor Beta,YAL003W,chrI,142174,143160
CDS,,,,chrI,142174,142253
intron,,,,chrI,142254,142619
snoRNA gene,,Small Nucleolar RNA,YNCA0003W,chrI,142367,142468
noncoding_exon,,,,chrI,142367,142468
CDS,,,,chrI,142620,143160
ORF,Verified,Vacuolar Protein Sorting,YAL002W,chrI,143707,147531
CDS,,,,chrI,143707,147531
ARS,,,ARS108,chrI,147398,147717
ORF,Verified,Transcription Factor class C,YAL001C,chrI,147594,151166
CDS,,,,chrI,147594,151006
intron,,,,chrI,151007,151096
CDS,,,,chrI,151097,151166
centromere,,,CEN1,chrI,151465,151582
centromere_DNA_Element_I,,,,chrI,151465,151474
centromere_DNA_Element_II,,,,chrI,151475,151557
centromere_DNA_Element_III,,,,chrI,151558,151582
ORF,Verified,NUclear Pore,YAR002W,chrI,152257,153876
CDS,,,,chrI,152257,153876
ORF,Verified,Emp24p/Erv25p Related Protein,YAR002C-A,chrI,154065,154724
CDS,,,,chrI,154065,154724
ORF,Verified,"Set1c, WD40 repeat protein",YAR003W,chrI,155005,156285
CDS,,,,chrI,155005,156285
ORF,Verified,Replication Factor A,YAR007C,chrI,156754,158619
CDS,,,,chrI,156754,158619
ORF,Verified,Splicing ENdonuclease,YAR008W,chrI,158966,159793
CDS,,,,chrI,158966,159793
ARS,,Autonomously Replicating Sequence,ARS109,chrI,159907,160127
ARS_consensus_sequence,,,,chrI,159935,159945
ARS_consensus_sequence,,,,chrI,159952,159966
long terminal repeat,,,YARCdelta3,chrI,160105,160237
long terminal repeat,,,YARCdelta4,chrI,160238,160574
LTR retrotransposon,,,YARCTy1-1,chrI,160238,166162
transposable element gene,,,YAR009C,chrI,160597,164187
CDS,,,,chrI,160597,164187
transposable element gene,,,YAR010C,chrI,164544,165866
CDS,,,,chrI,164544,165866
long terminal repeat,,,YARCdelta5,chrI,165826,166162
tRNA gene,,,YNCA0004W,chrI,166267,166339
noncoding_exon,,,,chrI,166267,166339
ORF,Verified,BUD site selection,YAR014C,chrI,166742,168871
CDS,,,,chrI,166742,168871
ORF,Verified,ADEnine requiring,YAR015W,chrI,169375,170295
CDS,,,,chrI,169375,170295
ORF,Verified,protein KINase,YAR018C,chrI,170396,171703
CDS,,,,chrI,170396,171703
ORF,Verified,Cell Division Cycle,YAR019C,chrI,172211,175135
CDS,,,,chrI,172211,175135
ORF,Dubious,,YAR019W-A,chrI,174998,175330
CDS,,,,chrI,174998,175330
ARS,,Autonomously Replicating Sequence,ARS110,chrI,176157,176404
ARS_consensus_sequence,,,,chrI,176232,176248
ORF,Verified,seriPAUperin family,YAR020C,chrI,176856,177023
CDS,,,,chrI,176856,177023
ORF,Uncharacterized,,YAR023C,chrI,179281,179820
CDS,,,,chrI,179281,179820
tRNA gene,,SUPpressor,YNCA0005W,chrI,181141,181254
noncoding_exon,,,,chrI,181141,181178
intron,,,,chrI,181179,181210
noncoding_exon,,,,chrI,181211,181254
tRNA gene,,,YNCA0006C,chrI,182522,182603
noncoding_exon,,,,chrI,182522,182603
long terminal repeat,,,YARWsigma1,chrI,182620,182959
long terminal repeat,,,YARWdelta6,chrI,183142,183474
ORF,Verified,Ulp1 Interacting Protein,YAR027W,chrI,183770,184477
CDS,,,,chrI,183770,184477
ORF,Uncharacterized,,YAR028W,chrI,184892,185596
CDS,,,,chrI,184892,185596
ORF,Uncharacterized,,YAR029W,chrI,186321,186545
CDS,,,,chrI,186321,186545
ORF,Dubious,,YAR030C,chrI,186512,186853
CDS,,,,chrI,186512,186853
ORF,Verified,Pheromone-Regulated Membrane protein,YAR031W,chrI,186836,187732
CDS,,,,chrI,186836,187732
ORF,Verified,Multicopy suppressor of Sec Twenty one,YAR033W,chrI,188107,188811
CDS,,,,chrI,188107,188811
long terminal repeat,,,YARWdelta7,chrI,189426,189757
ORF,Verified,,YAR035W,chrI,190193,192256
CDS,,,,chrI,190193,192256
ORF,Uncharacterized,,YAR035C-A,chrI,192337,192417
CDS,,,,chrI,192337,192417
ORF,Verified,,YAR042W,chrI,192619,196185
CDS,,,,chrI,192619,196185
ORF,Dubious,,YAR047C,chrI,201467,201787
CDS,,,,chrI,201467,201787
ORF,Verified,FLOcculation,YAR050W,chrI,203403,208016
CDS,,,,chrI,203403,208016
ORF,Dubious,,YAR053W,chrI,208367,208663
CDS,,,,chrI,208367,208663
long terminal repeat,,,YARCdelta8,chrI,209448,209778
ARS,,,ARS111,chrI,214888,215644
ARS_consensus_sequence,,,,chrI,215012,215028
ORF,Dubious,,YAR060C,chrI,217157,217492
CDS,,,,chrI,217157,217492
pseudogene,,,YAR061W,chrI,218140,219145
CDS,,,,chrI,218140,219145
ORF,Uncharacterized,,YAR064W,chrI,220198,220497
CDS,,,,chrI,220198,220497
ORF,Uncharacterized,,YAR066W,chrI,221049,221660
CDS,,,,chrI,221049,221660
ORF,Uncharacterized,,YAR068W,chrI,222406,222891
CDS,,,,chrI,222406,222891
ARS,,,ARS112,chrI,222880,224046
ORF,Dubious,,YAR069C,chrI,224011,224304
CDS,,,,chrI,224011,224304
ORF,Dubious,,YAR070C,chrI,224563,224862
CDS,,,,chrI,224563,224862
ORF,Verified,PHOsphate metabolism,YAR071W,chrI,225460,226863
CDS,,,,chrI,225460,226863
ORF,Dubious,IMP Dehydrogenase,YAR073W,chrI,227742,228953
CDS,,,,chrI,227742,228953
ORF,Dubious,,YAR075W,chrI,228844,229317
CDS,,,,chrI,228844,229317
telomere,,,TEL01R,chrI,229411,230218
X_element,,,,chrI,229411,229871
telomeric_repeat,,,,chrI,230121,230218
gene group,,,MAL3,chrII,0,0
telomere,,,TEL02L,chrII,1,6608
Y_prime_element,,,,chrII,1,5848
ARS,,,ARS200,chrII,40,202
ORF,Uncharacterized,,YBL113C,chrII,280,2658
CDS,,,,chrII,280,2658
ORF,Dubious,,YBL113W-A,chrII,646,1128
CDS,,,,chrII,646,1128
ORF,Uncharacterized,,YBL112C,chrII,2582,2899
CDS,,,,chrII,2582,2899
ORF,Verified,,YBL111C,chrII,2907,5009
CDS,,,,chrII,2907,4116
intron,,,,chrII,4117,4215
CDS,,,,chrII,4216,5009
ORF,Dubious,,YBL109W,chrII,5790,6125
CDS,,,,chrII,5790,6125
X_element_combinatorial_repeat,,,,chrII,5849,6138
X_element,,,,chrII,6139,6608
ARS,,,ARS201,chrII,6498,6620
ORF,Verified,seriPAUperin,YBL108C-A,chrII,7605,7733
CDS,,,,chrII,7605,7733
ORF,Dubious,,YBL108W,chrII,8177,8482
CDS,,,,chrII,8177,8482
long terminal repeat,,,YBLWdelta1,chrII,8848,9092
long terminal repeat,,,YBLWdelta2,chrII,9093,9424
ORF,Dubious,,YBL107W-A,chrII,9268,9372
CDS,,,,chrII,9268,9372
long terminal repeat,,,YBLWdelta3,chrII,9425,9518
tRNA gene,,,YNCB0001W,chrII,9583,9666
noncoding_exon,,,,chrII,9583,9666
ORF,Verified,Mitochondrial Intermembrane space CX(n)C motif protein,YBL107C,chrII,9961,10551
CDS,,,,chrII,9961,10551
ORF,Verified,Suppressor of rho3,YBL106C,chrII,10847,13879
CDS,,,,chrII,10847,13879
ORF,Verified,Protein Kinase C,YBL105C,chrII,14241,17696
CDS,,,,chrII,14241,17696
ORF,Verified,SEh1-Associated,YBL104C,chrII,18177,21293
CDS,,,,chrII,18177,21293
ORF,Verified,ReTroGrade regulation,YBL103C,chrII,22076,23536
CDS,,,,chrII,22076,23536
ORF,Verified,Suppressor of sed Five Ts,YBL102W,chrII,24098,24745
CDS,,,,chrII,24098,24745
ORF,Verified,ExtraCellular Mutant,YBL101C,chrII,24946,28299
CDS,,,,chrII,24946,28299
ORF,Uncharacterized,,YBL100W-C,chrII,28427,28546
CDS,,,,chrII,28427,28546
ARS,,Autonomously Replicating Sequence,ARS230,chrII,28942,29160
long terminal repeat,,,YBLWdelta4,chrII,29644,29975
LTR retrotransposon,,,YBLWTy2-1,chrII,29644,35602
transposable element gene,,,YBL100W-A,chrII,29935,31251
CDS,,,,chrII,29935,31251
transposable element gene,,,YBL100W-B,chrII,29935,35248
CDS,,,,chrII,29935,31227
plus_1_translational_frameshift,,,,chrII,31228,31228
CDS,,,,chrII,31229,35248
long terminal repeat,,,YBLWdelta5,chrII,35271,35602
long terminal repeat,,,YBLWdelta6,chrII,35604,35796
long terminal repeat,,,YBLCtau1,chrII,35851,36221
tRNA gene,,,YNCB0002W,chrII,36398,36488
noncoding_exon,,,,chrII,36398,36434
intron,,,,chrII,36435,36452
noncoding_exon,,,,chrII,36453,36488
ORF,Dubious,,YBL100C,chrII,36989,37303
CDS,,,,chrII,36989,37303
ORF,Verified,ATP synthase,YBL099W,chrII,37053,38690
CDS,,,,chrII,37053,38690
ORF,Verified,Biosynthesis of Nicotinic Acid,YBL098W,chrII,39145,40527
CDS,,,,chrII,39145,40527
ORF,Verified,homolog of BaRreN,YBL097W,chrII,40831,43095
CDS,,,,chrII,40831,43095
ORF,Dubious,,YBL096C,chrII,43174,43482
CDS,,,,chrII,43174,43482
ORF,Uncharacterized,Mitochondrial oRganization of gene eXpression (MIOREX),YBL095W,chrII,43277,44089
CDS,,,,chrII,43277,44089
ORF,Dubious,,YBL094C,chrII,43765,44097
CDS,,,,chrII,43765,44097
ORF,Verified,Regulation by OXygen,YBL093C,chrII,44256,44918
CDS,,,,chrII,44256,44918
five_prime_UTR_intron,,,,chrII,45645,45977
ORF,Verified,Ribosomal Protein of the Large subunit,YBL092W,chrII,45978,46370
CDS,,,,chrII,45978,46370
ORF,Verified,Suppressor of Choline Sensitivity,YBL091C-A,chrII,46565,47180
CDS,,,,chrII,46565,47058
intron,,,,chrII,47059,47146
CDS,,,,chrII,47147,47180
ORF,Verified,Methionine AminoPeptidase,YBL091C,chrII,47363,48628
CDS,,,,chrII,47363,48628
ORF,Verified,Mitochondrial Ribosomal Protein,YBL090W,chrII,48825,49358
CDS,,,,chrII,48825,49358
ORF,Verified,Amino acid Vacuolar Transport,YBL089W,chrII,49574,50953
CDS,,,,chrII,49574,50953
ORF,Verified,TELomere maintenance,YBL088C,chrII,51019,59382
CDS,,,,chrII,51019,59382
ORF,Verified,Ribosomal Protein of the Large subunit,YBL087C,chrII,59822,60739
CDS,,,,chrII,59822,60193
intron,,,,chrII,60194,60697
CDS,,,,chrII,60698,60739
ORF,Uncharacterized,,YBL086C,chrII,61202,62602
CDS,,,,chrII,61202,62602
ARS,,,ARS202,chrII,63259,63381
ORF,Verified,Bem1 (One) Interacting protein,YBL085W,chrII,63876,66818
CDS,,,,chrII,63876,66818
ORF,Verified,Cell Division Cycle,YBL084C,chrII,67169,69445
CDS,,,,chrII,67169,69445
ORF,Dubious,,YBL083C,chrII,69713,70138
CDS,,,,chrII,69713,70138
ORF,Verified,Asparagine Linked Glycosylation,YBL082C,chrII,69751,71127
CDS,,,,chrII,69751,71127
ORF,Uncharacterized,,YBL081W,chrII,71866,72972
CDS,,,,chrII,71866,72972
ORF,Verified,PETite colonies,YBL080C,chrII,73070,74695
CDS,,,,chrII,73070,74695
ORF,Verified,NUclear Pore,YBL079W,chrII,75259,79767
CDS,,,,chrII,75259,79767
ORF,Verified,AuTophaGy related,YBL078C,chrII,80378,80731
CDS,,,,chrII,80378,80731
ORF,Dubious,,YBL077W,chrII,80897,81328
CDS,,,,chrII,80897,81328
ORF,Verified,IsoLeucine-tRNA Synthetase,YBL076C,chrII,81043,84261
CDS,,,,chrII,81043,84261
ORF,Verified,Stress-Seventy subfamily A,YBL075C,chrII,84499,86448
CDS,,,,chrII,84499,86448
ORF,Verified,A1-Alpha2 Repression,YBL074C,chrII,86722,87789
CDS,,,,chrII,86722,87789
ORF,Dubious,,YBL073W,chrII,87646,87957
CDS,,,,chrII,87646,87957
snoRNA gene,,Small Nucleolar RNA,YNCB0003W,chrII,88190,88277
noncoding_exon,,,,chrII,88190,88277
ORF,Verified,Ribosomal Protein of the Small subunit,YBL072C,chrII,88523,89125
CDS,,,,chrII,88523,89125
five_prime_UTR_intron,,,,chrII,89133,89440
ORF,Uncharacterized,,YBL071C-B,chrII,89458,89556
CDS,,,,chrII,89458,89556
ORF,Verified,Kluveromyces lactis Toxin Insensitive,YBL071W-A,chrII,89978,90226
CDS,,,,chrII,89978,90226
ORF,Uncharacterized,,YBL071C,chrII,90223,90531
CDS,,,,chrII,90223,90531
ORF,Dubious,,YBL070C,chrII,90605,90925
CDS,,,,chrII,90605,90925
ORF,Verified,ATPase STabilizing,YBL069W,chrII,90741,92030
CDS,,,,chrII,90741,92030
ORF,Dubious,,YBL068W-A,chrII,91794,92030
CDS,,,,chrII,91794,92030
ORF,Verified,PhosphoRibosylpyrophosphate Synthetase,YBL068W,chrII,92414,93394
CDS,,,,chrII,92414,93394
ARS,,,ARS203,chrII,93435,93519
ORF,Verified,UBiquitin-specific Protease,YBL067C,chrII,93639,95882
CDS,,,,chrII,93639,95882
ORF,Verified,Suppressor of Essential Function,YBL066C,chrII,96669,100115
CDS,,,,chrII,96669,100115
ORF,Dubious,,YBL065W,chrII,99963,100307
CDS,,,,chrII,99963,100307
ORF,Verified,PeroxiRedoXin,YBL064C,chrII,100371,101156
CDS,,,,chrII,100371,101156
ORF,Verified,KInesin related Protein,YBL063W,chrII,101886,105221
CDS,,,,chrII,101886,105221
ORF,Dubious,,YBL062W,chrII,105308,105688
CDS,,,,chrII,105308,105688
ORF,Verified,,YBL061C,chrII,105316,107406
CDS,,,,chrII,105316,107406
ORF,Verified,Yeast EFA6-Like,YBL060W,chrII,107932,109995
CDS,,,,chrII,107932,109995
ORF,Verified,Cx9C Motif-Containing protein,YBL059C-A,chrII,110125,110539
CDS,,,,chrII,110125,110420
intron,,,,chrII,110421,110505
CDS,,,,chrII,110506,110539
ORF,Uncharacterized,Interactor of AIm11,YBL059W,chrII,110594,111244
CDS,,,,chrII,110594,110879
intron,,,,chrII,110880,110948
CDS,,,,chrII,110949,111244
ORF,Verified,Suppressor of High-copy PP1,YBL058W,chrII,111437,112708
CDS,,,,chrII,111437,112708
ORF,Verified,Peptidyl-Trna Hydrolase,YBL057C,chrII,112801,113427
CDS,,,,chrII,112801,113427
ORF,Verified,Phosphatase Two C,YBL056W,chrII,113762,115168
CDS,,,,chrII,113762,115168
ORF,Verified,,YBL055C,chrII,115573,116829
CDS,,,,chrII,115573,116829
ORF,Verified,Twin Of Dot6p,YBL054W,chrII,117589,119166
CDS,,,,chrII,117589,119166
ORF,Dubious,,YBL053W,chrII,119335,119709
CDS,,,,chrII,119335,119709
ORF,Verified,Something About Silencing,YBL052C,chrII,119379,121874
CDS,,,,chrII,119379,121874
ORF,Verified,Psi+ INducibility,YBL051C,chrII,122753,124759
CDS,,,,chrII,122753,124759
ORF,Verified,SECretory,YBL050W,chrII,125125,126119
CDS,,,,chrII,125125,125154
intron,,,,chrII,125155,125270
CDS,,,,chrII,125271,126119
ORF,Verified,,YBL049W,chrII,126828,127244
CDS,,,,chrII,126828,127244
ORF,Uncharacterized,Regulator of rDNA Transcription,YBL048W,chrII,127299,127610
CDS,,,,chrII,127299,127610
ORF,Verified,EH Domains and Endocytosis,YBL047C,chrII,127895,132040
CDS,,,,chrII,127895,132040
ORF,Verified,Platinum SensitivitY,YBL046W,chrII,132424,133749
CDS,,,,chrII,132424,133749
ORF,Verified,CORe protein of QH2 cytochrome c reductase,YBL045C,chrII,134143,135516
CDS,,,,chrII,134143,135516
ORF,Uncharacterized,,YBL044W,chrII,135998,136366
CDS,,,,chrII,135998,136366
ORF,Verified,ExtraCellular Mutant,YBL043W,chrII,136688,137461
CDS,,,,chrII,136688,137461
ORF,Verified,5-FlUorourIdine resistance,YBL042C,chrII,138341,140260
CDS,,,,chrII,138341,140260
ORF,Verified,PRoteinase yscE,YBL041W,chrII,141247,141972
CDS,,,,chrII,141247,141972
ORF,Verified,Endoplasmic reticulum Retention Defective,YBL040C,chrII,142112,142868
CDS,,,,chrII,142112,142749
intron,,,,chrII,142750,142846
CDS,,,,chrII,142847,142868
ORF,Uncharacterized,mitochondrial MINi protein of ~6 kDa,YBL039W-B,chrII,143393,143572
CDS,,,,chrII,143393,143572
ARS,,,ARS206,chrII,143658,143745
ORF,Verified,URAcil requiring,YBL039C,chrII,143989,145728
CDS,,,,chrII,143989,145728
ORF,Dubious,,YBL039C-A,chrII,144948,145031
CDS,,,,chrII,144948,145031
ORF,Verified,"Mitochondrial Ribosomal Protein, Large subunit",YBL038W,chrII,146187,146885
CDS,,,,chrII,146187,146885
ORF,Verified,clathrin Adaptor Protein complex Large chain,YBL037W,chrII,147209,150286
CDS,,,,chrII,147209,150286
ORF,Verified,,YBL036C,chrII,150447,151220
CDS,,,,chrII,150447,151220
ORF,Verified,POLymerase,YBL035C,chrII,151493,153610
CDS,,,,chrII,151493,153610
ORF,Verified,Suppressor of TUbulin,YBL034C,chrII,153848,158389
CDS,,,,chrII,153848,158389
ORF,Verified,RIBoflavin biosynthesis,YBL033C,chrII,158656,159693
CDS,,,,chrII,158656,159693
ORF,Verified,HEterogeneous nuclear rnp K-like gene,YBL032W,chrII,160184,161329
CDS,,,,chrII,160184,161329
ORF,Verified,Sensitivity to High Expression,YBL031W,chrII,161699,162715
CDS,,,,chrII,161699,162715
ORF,Verified,PETite,YBL030C,chrII,163041,163997
CDS,,,,chrII,163041,163997
ORF,Verified,,YBL029C-A,chrII,164488,164772
CDS,,,,chrII,164488,164772
ORF,Uncharacterized,,YBL029W,chrII,166134,167264
CDS,,,,chrII,166134,167264
ORF,Verified,,YBL028C,chrII,167518,167838
CDS,,,,chrII,167518,167838
ORF,Verified,Ribosomal Protein of the Large subunit,YBL027W,chrII,168423,169376
CDS,,,,chrII,168423,168424
intron,,,,chrII,168425,168808
CDS,,,,chrII,168809,169376
ARS,,,ARS207,chrII,170173,170279
ARS_consensus_sequence,,,,chrII,170207,170223
ORF,Verified,Like SM,YBL026W,chrII,170623,171038
CDS,,,,chrII,170623,170676
intron,,,,chrII,170677,170804
CDS,,,,chrII,170805,171038
ORF,Verified,Regulation of RNA polymerase I,YBL025W,chrII,171481,171918
CDS,,,,chrII,171481,171918
ORF,Verified,NuCLear protein,YBL024W,chrII,172534,174588
CDS,,,,chrII,172534,174588
ORF,Verified,MiniChromosome Maintenance,YBL023C,chrII,174920,177526
CDS,,,,chrII,174920,177526
ORF,Verified,Proteolysis In Mitochondria,YBL022C,chrII,177874,181275
CDS,,,,chrII,177874,181275
