,Systematic name,RNA pol II  presence (per gene),TR indirect (mol/hour),TR (mol/hour)
147,YBL029C-A,,,
148,YBL029W,,1.6199999999999999,
149,YBL030C,0.0696,30.156000000000002,6.5520000000000005
150,YBL031W,0.0296,1.602,2.6220000000000003
151,YBL032W,0.1507,35.291999999999994,11.844
152,YBL033C,0.1711,2.472,14.85
153,YBL034C,,1.7999999999999998,
154,YBL035C,0.1439,5.454,6.119999999999999
155,YBL036C,0.0787,6.624,9.162
156,YBL037W,0.0972,,2.844
157,YBL038W,,7.8839999999999995,
158,YBL039C,,8.946000000000002,
159,YBL039C-A,,,
160,YBL039W-B,,,
161,YBL040C,0.0589,9.45,7.014
162,YBL041W,0.1625,19.326,20.172
163,YBL042C,0.4135,15.168000000000001,19.392
164,YBL043W,,0.42,
165,YBL044W,,0.7020000000000001,
166,YBL045C,0.049,7.608,3.216
167,YBL046W,0.0997,4.9079999999999995,6.768
168,YBL047C,0.6723,6.402,14.597999999999999
169,YBL048W,,0.318,
170,YBL049W,0.0248,,5.364
171,YBL050W,,10.847999999999999,
172,YBL051C,0.1889,8.196,8.472
173,YBL052C,0.1754,,6.33
174,YBL053W,0.04,,9.618
175,YBL054W,,1.4280000000000002,
176,YBL055C,0.1548,4.026000000000001,11.094000000000001
177,YBL056W,0.203,24.036,12.995999999999999
178,YBL057C,0.0781,,10.914
179,YBL058W,0.329,,23.298
180,YBL059C-A,,,
181,YBL059W,0.0499,3.7620000000000005,6.906
182,YBL060W,0.114,3.384,4.974
183,YBL061C,0.1273,,5.484
184,YBL062W,0.0316,,7.482
185,YBL063W,0.149,,4.0200000000000005
186,YBL064C,0.0186,,2.136
187,YBL065W,,,
188,YBL066C,0.1304,,3.4080000000000004
189,YBL067C,0.1579,4.782,6.336
190,YBL068W,0.0369,,3.384
191,YBL068W-A,,,
192,YBL069W,0.1509,,10.53
193,YBL070C,,,
194,YBL071C,,,
195,YBL071C-B,,,
196,YBL071W-A,0.0196,,7.109999999999999
197,YBL072C,0.1814,,27.12
198,YBL073W,0.0154,,4.446
199,YBL074C,0.0548,0.156,4.62
200,YBL075C,0.1304,,6.024
201,YBL076C,0.1653,,4.62
202,YBL077W,0.0758,,15.822
203,YBL078C,0.0242,1.6740000000000002,6.162
204,YBL079W,0.3378,0.792,6.744
205,YBL080C,0.0634,,3.5100000000000002
206,YBL081W,,,
207,YBL082C,0.0572,,3.738
208,YBL083C,0.0116,,2.46
209,YBL084C,,1.284,
210,YBL085W,,,
211,YBL086C,0.0751,4.122,4.83
212,YBL087C,0.3807,68.38199999999999,37.368
213,YBL088C,0.3384,,3.642
214,YBL089W,,,
215,YBL090W,0.0541,4.308,9.126000000000001
216,YBL091C,0.0564,24.948,4.014
217,YBL091C-A,0.2445,,35.778000000000006
218,YBL092W,0.1304,,29.945999999999998
219,YBL093C,0.1302,12.642,17.706
220,YBL094C,,,
221,YBL095W,0.0906,,10.038
222,YBL096C,0.0574,,16.782
223,YBL097W,,,
224,YBL098W,,,
225,YBL099W,0.2344,32.562,12.888
226,YBL100C,0.0298,,8.532
227,YBL100W-C,,,
228,YBL101C,0.1857,3.084,4.986
229,YBL102W,0.0288,11.31,4.008
230,YBL103C,0.0908,4.176,5.598
231,YBL104C,0.0896,,2.586
232,YBL105C,0.2485,3.7439999999999998,6.474
233,YBL106C,0.0815,1.17,2.418
234,YBL107C,0.0429,15.366,6.54
235,YBL107W-A,,,
236,YBL108C-A,,,
237,YBL108W,,,
238,YBL109W,,,
239,YBL111C,,,
240,YBL112C,,,
241,YBL113C,,,
242,YBL113W-A,,,
243,YBR001C,0.138,1.0139999999999998,5.304
244,YBR002C,0.111,5.91,11.622
245,YBR003W,0.0607,12.888,3.846
246,YBR004C,,7.392,
247,YBR005W,,,
248,YBR006W,0.0723,5.43,4.356
249,YBR007C,0.1425,,5.802
250,YBR008C,,1.7999999999999998,
251,YBR009C,0.3365,,97.386
252,YBR010W,0.5078,294.98400000000004,111.474
253,YBR011C,0.1245,22.986,12.984
254,YBR012C,,,
255,YBR013C,,,
256,YBR014C,0.0209,11.129999999999999,3.072
257,YBR015C,0.1956,11.91,9.815999999999999
258,YBR016W,0.0802,25.302,18.701999999999998
259,YBR017C,,2.8080000000000003,
260,YBR018C,,0.126,
261,YBR019C,0.0605,0.516,2.592
262,YBR020W,0.0651,0.108,3.69
263,YBR021W,0.0688,0.3,3.258
264,YBR022W,0.0303,3.768,5.118
265,YBR023C,,0.87,
266,YBR024W,0.0491,3.198,4.884
267,YBR025C,0.1527,,11.604
268,YBR026C,0.0381,2.4659999999999997,3.0
269,YBR027C,,,
270,YBR028C,0.1152,,6.57
271,YBR029C,0.0306,4.458,2.004
272,YBR030W,0.1426,1.848,7.74
273,YBR031W,,556.008,
274,YBR032W,0.0603,0.738,17.964
275,YBR033W,0.0915,0.216,2.982
276,YBR034C,0.1432,40.206,12.318000000000001
277,YBR035C,0.0832,4.386,10.908
278,YBR036C,0.1085,22.56,7.926
279,YBR037C,0.0605,,6.144
280,YBR038W,0.0773,,2.4059999999999997
281,YBR039W,0.0845,12.120000000000001,8.136
282,YBR040W,,0.186,
283,YBR041W,0.1773,,7.943999999999999
284,YBR042C,,8.370000000000001,
285,YBR043C,0.2572,3.7199999999999998,11.184000000000001
286,YBR044C,0.1413,2.1599999999999997,7.392
287,YBR045C,,,
288,YBR046C,0.0426,6.222,3.8220000000000005
289,YBR047W,,,
290,YBR048W,0.2633,17.25,24.156000000000002
291,YBR049C,0.2595,7.128,9.6
292,YBR050C,0.0455,0.216,4.032
293,YBR051W,,,
294,YBR052C,0.0847,16.842,12.066
295,YBR053C,0.028,4.35,2.34
296,YBR054W,0.0538,7.2059999999999995,4.68
297,YBR055C,,11.34,
298,YBR056C-B,,,
299,YBR056W,,5.304,
300,YBR056W-A,,,
301,YBR057C,0.0937,2.79,7.668
302,YBR058C,0.1807,5.64,6.936
303,YBR058C-A,,,
304,YBR059C,0.1262,2.538,3.414
305,YBR060C,0.1627,,7.866
306,YBR061C,0.0767,5.364,7.404
307,YBR062C,0.0855,4.56,12.324
308,YBR063C,0.0399,1.9380000000000002,2.9579999999999997
309,YBR064W,,,
310,YBR065C,0.0373,0.44999999999999996,3.066
311,YBR066C,,0.642,
312,YBR067C,0.1367,,19.464000000000002
313,YBR068C,1.0451,23.988,51.426
314,YBR069C,,2.118,
315,YBR070C,0.0309,3.9119999999999995,3.9000000000000004
316,YBR071W,0.1076,2.46,15.251999999999999
317,YBR072C-A,,,
318,YBR072W,0.0133,,1.854
319,YBR073W,0.1386,5.22,4.5
320,YBR074W,0.1588,6.7379999999999995,4.878
321,YBR076C-A,,,
322,YBR076W,,,
323,YBR077C,,6.816000000000001,
324,YBR078W,1.1514,8.556000000000001,59.694
325,YBR079C,0.2689,5.448,8.363999999999999
326,YBR080C,,6.396,
327,YBR081C,0.2942,,6.624
328,YBR082C,0.2036,65.22,33.864000000000004
329,YBR083W,,1.284,
330,YBR084C-A,0.3528,,29.538
331,YBR084W,0.3495,13.122,10.746
332,YBR085C-A,,,
333,YBR085W,,,
334,YBR086C,,6.438000000000001,
335,YBR087W,,9.138,
336,YBR088C,,12.696000000000002,
337,YBR089C-A,,,
338,YBR089W,0.0443,,6.654
339,YBR090C,0.1622,,20.130000000000003
340,YBR091C,0.0386,,10.566
341,YBR092C,0.3605,56.147999999999996,23.124000000000002
342,YBR093C,0.1082,31.314,6.942
343,YBR094W,0.0963,2.214,3.834
344,YBR095C,0.0918,2.3939999999999997,6.396
345,YBR096W,0.0216,7.632000000000001,2.814
346,YBR097W,0.2178,,4.488
347,YBR098W,,,
348,YBR099C,,,
349,YBR101C,0.622,36.977999999999994,64.194
350,YBR102C,0.1521,4.26,6.054
351,YBR103C-A,,,
352,YBR103W,0.1437,,8.052000000000001
353,YBR104W,0.0414,4.811999999999999,3.768
354,YBR105C,0.0695,12.354,5.747999999999999
355,YBR106W,0.2825,34.68,44.928000000000004
356,YBR107C,0.0546,3.624,6.666
357,YBR108W,0.1695,2.52,5.364
358,YBR109C,0.0563,48.312000000000005,11.436
359,YBR109W-A,,,
360,YBR110W,0.0371,9.264000000000001,2.472
361,YBR111C,0.0488,64.044,6.3180000000000005
362,YBR111W-A,,,
363,YBR112C,1.2043,4.284000000000001,37.374
364,YBR113W,0.0435,0.8099999999999999,8.123999999999999
365,YBR114W,0.0995,1.554,3.774
366,YBR115C,0.3774,4.458,8.13
367,YBR116C,0.0602,0.048,10.283999999999999
368,YBR117C,0.1021,,4.494
369,YBR118W,0.2883,107.13600000000001,18.852
370,YBR119W,0.1014,5.352,9.264000000000001
371,YBR120C,0.0221,10.59,4.074
372,YBR121C,0.5328,29.208000000000002,23.94
373,YBR121C-A,,,
374,YBR122C,0.0675,10.260000000000002,11.394
375,YBR123C,0.1466,2.514,6.774
376,YBR124W,0.0119,,2.982
377,YBR125C,0.0717,,5.46
378,YBR126C,,9.69,
379,YBR126W-A,,,
380,YBR126W-B,,,
381,YBR127C,0.2085,10.164,12.084
382,YBR128C,0.0456,0.318,3.966
383,YBR129C,0.0719,2.3939999999999997,6.558
384,YBR130C,0.109,2.244,7.68
385,YBR131C-A,,,
386,YBR131W,0.0586,1.05,2.496
387,YBR132C,,0.462,
388,YBR133C,0.1669,7.128,6.048
389,YBR134W,0.0162,0.138,3.648
390,YBR135W,0.0369,4.236,7.35
391,YBR136W,0.2698,,3.414
392,YBR137W,0.0274,5.808,4.572
393,YBR138C,,,
394,YBR139W,0.0861,1.008,5.076
395,YBR140C,0.3271,2.058,3.1740000000000004
396,YBR141C,0.0626,,5.568
397,YBR141W-A,,,
398,YBR142W,0.2435,,9.437999999999999
399,YBR143C,0.1424,43.199999999999996,9.762
400,YBR144C,0.0137,,3.93
401,YBR145W,0.0397,5.112,3.384
402,YBR146W,0.0645,,6.948
403,YBR147W,,,
404,YBR148W,,0.354,
405,YBR149W,0.0659,25.098,5.742
406,YBR150C,,,
407,YBR151W,0.0786,26.394000000000002,7.4399999999999995
408,YBR152W,0.0691,,7.109999999999999
409,YBR153W,0.1016,5.052,12.456
410,YBR154C,0.1419,55.158,19.734
411,YBR155W,,4.242,
412,YBR156C,0.1106,0.7320000000000001,4.746
413,YBR157C,0.0693,,8.13
414,YBR158W,0.4582,68.598,25.008
415,YBR159W,0.0622,8.382,5.364
416,YBR160W,0.0866,4.944,8.694
417,YBR161W,0.0337,1.6740000000000002,2.682
418,YBR162C,0.1489,11.31,9.803999999999998
419,YBR162W-A,,76.44,
420,YBR163W,0.056,1.206,2.8680000000000003
421,YBR164C,0.0499,18.282,8.148
422,YBR165W,0.0402,0.336,4.344
423,YBR166C,0.0702,2.436,4.65
424,YBR167C,0.0227,0.6120000000000001,4.854
425,YBR168W,0.0264,,1.914
426,YBR169C,0.1317,,5.7
427,YBR170C,,2.826,
428,YBR171W,0.0331,17.136000000000003,4.806
429,YBR172C,0.4586,20.964,18.576
430,YBR173C,0.1283,7.446,25.901999999999997
431,YBR174C,0.0356,,10.200000000000001
432,YBR175W,0.0621,1.9259999999999997,5.898
433,YBR176W,0.0272,,2.604
434,YBR177C,,7.338,
435,YBR178W,0.0236,0.30600000000000005,5.67
436,YBR179C,0.1261,3.2760000000000002,4.422
437,YBR180W,0.0455,,2.382
438,YBR181C,0.1854,,15.714000000000002
439,YBR182C,,,
440,YBR182C-A,,,
441,YBR183W,0.0304,1.284,2.88
442,YBR184W,,,
443,YBR185C,0.0364,6.965999999999999,3.924
444,YBR186W,0.0262,,1.308
445,YBR187W,0.1585,25.23,16.938
446,YBR188C,0.0265,2.658,5.64
447,YBR189W,,139.296,
448,YBR190W,0.0155,,4.47
449,YBR191W,0.3605,132.126,37.296
450,YBR191W-A,,,
451,YBR192W,0.1377,2.0279999999999996,10.937999999999999
452,YBR193C,,10.758,
453,YBR194W,0.059,1.764,14.304
454,YBR195C,0.0679,3.834,4.818
455,YBR196C,1.0333,65.796,55.884
456,YBR196C-A,,,
457,YBR196C-B,,,
458,YBR197C,0.0949,2.556,13.08
459,YBR198C,,7.542000000000001,
460,YBR199W,0.0987,13.92,6.372
461,YBR200W,,10.344,
462,YBR200W-A,,,
463,YBR201C-A,,,
464,YBR201W,0.0336,2.136,4.764
465,YBR202W,0.3562,,12.636000000000001
466,YBR203W,0.0656,,2.13
467,YBR204C,,4.787999999999999,
468,YBR205W,,,
469,YBR206W,0.0383,,10.68
470,YBR207W,0.1428,13.518,9.198
471,YBR208C,0.3944,,6.444
472,YBR209W,,0.102,
473,YBR210W,0.0166,3.564,3.492
474,YBR211C,0.0388,2.9939999999999998,3.5820000000000003
475,YBR212W,0.14,4.446,6.239999999999999
476,YBR213W,0.0257,,2.814
477,YBR214W,0.1189,2.658,6.762
478,YBR215W,0.1392,4.038,6.39
479,YBR216C,0.0999,1.284,4.4399999999999995
480,YBR217W,0.0275,2.61,4.416
481,YBR218C,,3.96,
482,YBR219C,0.0412,0.126,4.608
483,YBR220C,0.1583,,8.472
484,YBR221C,,21.336000000000002,
485,YBR221W-A,,,
486,YBR222C,,,
487,YBR223C,0.0819,,4.5120000000000005
488,YBR223W-A,,,
489,YBR224W,0.0199,,3.48
490,YBR225W,0.1563,,5.202
491,YBR226C,,,
492,YBR227C,,,
493,YBR228W,,,
494,YBR229C,0.0677,4.014,2.124
495,YBR230C,,7.644000000000001,
496,YBR230W-A,,,
497,YBR231C,,1.104,
498,YBR232C,0.0076,,1.9080000000000001
499,YBR233W,0.0548,,3.9779999999999998
500,YBR233W-A,,,
501,YBR234C,0.0899,9.12,7.008
502,YBR235W,0.2137,8.7,5.718
503,YBR236C,0.0988,,6.7860000000000005
504,YBR237W,0.1872,2.8859999999999997,6.612
505,YBR238C,0.3873,1.452,15.876
506,YBR239C,0.122,2.3939999999999997,6.912
507,YBR240C,,,
508,YBR241C,,1.386,
509,YBR242W,0.0715,,8.982
510,YBR243C,0.0334,,2.2319999999999998
511,YBR244W,,38.178,
512,YBR245C,0.214,,5.682
513,YBR246W,0.0364,,2.82
514,YBR247C,0.2275,6.090000000000001,14.112
515,YBR248C,0.2493,22.32,13.530000000000001
516,YBR249C,0.1428,18.522,11.556
517,YBR250W,,,
518,YBR251W,0.1048,7.59,10.218
519,YBR252W,0.0868,8.046,17.628
520,YBR253W,0.0499,3.0300000000000002,12.294
521,YBR254C,0.0513,,8.76
522,YBR255C-A,0.0452,,8.927999999999999
523,YBR255W,0.1426,,6.156
524,YBR256C,0.0662,12.078000000000001,8.328000000000001
525,YBR257W,0.0419,,4.5
526,YBR258C,0.0385,,8.088000000000001
527,YBR259W,,2.67,
528,YBR260C,0.113,3.1919999999999997,5.088
529,YBR261C,0.0877,11.262,11.304
530,YBR262C,0.115,5.028,32.34
531,YBR263W,0.1704,,10.416
532,YBR264C,0.0566,,8.508000000000001
533,YBR265W,0.1644,10.866000000000001,15.384
534,YBR266C,0.0691,,13.764
535,YBR267W,0.4375,6.96,33.342
536,YBR268W,0.0476,12.672,13.512
537,YBR269C,0.0489,2.0700000000000003,10.59
538,YBR270C,0.0516,0.5579999999999999,2.838
539,YBR271W,0.063,2.4539999999999997,4.506
540,YBR272C,,0.654,
541,YBR273C,0.102,5.2620000000000005,7.008
542,YBR274W,0.0448,3.228,2.5500000000000003
543,YBR275C,0.4032,,6.312
544,YBR276C,,13.578,
545,YBR277C,,,
546,YBR278W,0.051,31.554000000000002,7.5840000000000005
547,YBR279W,0.165,6.96,11.106
548,YBR280C,,,
549,YBR281C,0.1405,12.624,4.8
550,YBR282W,0.0274,,5.604
551,YBR283C,0.1602,19.35,9.792000000000002
552,YBR284W,0.034,0.084,1.278
553,YBR285W,,,
554,YBR286W,0.49,28.608,27.342
555,YBR287W,0.2174,7.776,15.245999999999999
556,YBR288C,0.0866,6.2459999999999996,5.37
557,YBR289W,0.2996,1.602,9.924
558,YBR290W,0.1424,,13.278
559,YBR291C,0.087,10.847999999999999,8.712
560,YBR292C,,,
561,YBR293W,0.0486,,3.072
562,YBR294W,0.0936,0.46799999999999997,3.264
563,YBR295W,0.1594,1.272,3.93
564,YBR296C,,2.706,
565,YBR296C-A,,,
566,YBR297W,,0.654,
567,YBR298C,0.0691,0.684,3.372
568,YBR298C-A,,,
569,YBR299W,0.0272,,1.3980000000000001
570,YBR300C,0.0352,,6.372
571,YBR301W,0.0059,,1.476
572,YBR302C,,,
573,YCL001W,,16.632,
574,YCL001W-A,,,
575,YCL001W-B,,,
576,YCL002C,0.0328,6.54,3.558
577,YCL004W,0.0729,2.34,4.194
578,YCL005W,0.0444,10.542,5.1899999999999995
579,YCL005W-A,,,
580,YCL007C,0.0508,,11.67
581,YCL008C,0.0836,2.3339999999999996,6.497999999999999
582,YCL009C,,6.288,
583,YCL010C,0.1328,0.738,15.341999999999999
584,YCL011C,0.2204,14.687999999999999,15.462
585,YCL012C,,,
586,YCL014W,0.1659,0.9480000000000001,3.0420000000000003
587,YCL016C,0.0675,0.96,5.316
588,YCL017C,0.1066,16.326,6.426
589,YCL018W,,0.06,
590,YCL021W-A,0.0185,,4.404000000000001
591,YCL022C,0.0196,,3.42
592,YCL023C,,0.174,
593,YCL024W,0.0993,3.432,2.8739999999999997
594,YCL025C,0.1295,16.860000000000003,6.132
595,YCL026C-A,,,
596,YCL026C-B,0.0155,,2.4
597,YCL027W,,,
598,YCL028W,0.0858,5.586,6.348000000000001
599,YCL029C,0.1332,3.528,9.066
600,YCL030C,,38.382000000000005,
601,YCL031C,0.1427,25.656,14.382
602,YCL032W,,5.376,
603,YCL033C,0.0414,,7.374
604,YCL034W,0.1032,,8.729999999999999
605,YCL035C,0.0574,28.914,15.557999999999998
606,YCL036W,,,
607,YCL037C,0.3573,1.3499999999999999,24.66
608,YCL038C,0.0303,,1.722
609,YCL039W,,,
610,YCL040W,,15.395999999999999,
611,YCL041C,,,
612,YCL042W,,,
613,YCL043C,0.4286,17.22,24.599999999999998
614,YCL044C,0.0657,0.38999999999999996,4.716
615,YCL045C,,14.825999999999999,
616,YCL046W,0.0856,,23.856
617,YCL047C,0.0231,8.411999999999999,2.676
618,YCL048W,0.0586,0.7020000000000001,3.786
619,YCL048W-A,,,
620,YCL049C,,4.782,
621,YCL050C,0.1472,16.548,13.728
622,YCL051W,0.1939,3.432,9.966
623,YCL052C,0.0392,13.404,2.826
624,YCL054W,0.5447,13.092,19.416
625,YCL055W,0.0931,,8.316
626,YCL056C,0.0317,,6.5760000000000005
627,YCL057C-A,,,
628,YCL057W,0.2038,,8.58
629,YCL058C,,,
630,YCL058W-A,,,
631,YCL059C,0.0987,11.766,9.347999999999999
632,YCL061C,0.1736,,4.746
633,YCL063W,0.1,1.44,7.08
634,YCL064C,,16.926000000000002,
635,YCL065W,0.019,,4.638
636,YCL066W,0.0319,,5.454
637,YCL067C,,,
638,YCL068C,0.0143,,1.6440000000000001
639,YCL069W,0.0311,,2.034
640,YCL073C,0.0204,,0.99
641,YCL076W,,,
642,YCR001W,,0.444,
643,YCR002C,0.0786,17.934,7.308000000000001
644,YCR003W,0.0507,3.372,8.286
645,YCR004C,,13.386,
646,YCR005C,0.9046,22.962,58.914
647,YCR006C,0.0384,0.6,7.308000000000001
648,YCR007C,0.0305,0.3,3.8160000000000003
649,YCR008W,0.1854,1.134,9.216
650,YCR009C,0.1172,,13.235999999999999
651,YCR010C,0.0115,,1.218
652,YCR011C,,0.972,
653,YCR012W,1.1115,,80.028
654,YCR013C,,,
655,YCR014C,0.1026,1.212,5.279999999999999
656,YCR015C,0.0531,,5.010000000000001
657,YCR016W,0.0681,4.092,7.032
658,YCR017C,0.2039,,6.414
659,YCR018C,,,
660,YCR018C-A,,,
661,YCR019W,0.0268,,2.214
662,YCR020C,0.0102,,1.422
663,YCR020C-A,0.022,,7.4399999999999995
664,YCR020W-B,,,
665,YCR021C,,,
666,YCR022C,,0.06,
667,YCR023C,0.1423,0.834,6.978
668,YCR024C,0.054,0.834,3.2880000000000003
669,YCR024C-A,,,
670,YCR024C-B,,,
671,YCR025C,0.0245,0.06,5.376
672,YCR026C,0.3216,1.542,12.99
673,YCR027C,0.0505,1.992,7.223999999999999
674,YCR028C,0.0359,2.25,2.1
675,YCR028C-A,,15.294,
676,YCR030C,,1.104,
677,YCR031C,0.1412,,17.645999999999997
678,YCR032W,,,
679,YCR033W,0.5154,2.586,12.606
680,YCR034W,0.0374,28.698,3.228
681,YCR035C,0.1469,10.998,11.165999999999999
682,YCR036W,0.1406,12.354,12.642
683,YCR037C,0.3413,7.4879999999999995,11.088
684,YCR038C,,1.206,
685,YCR038W-A,,,
686,YCR039C,0.0211,,3.012
687,YCR040W,,,
688,YCR041W,0.0141,,3.8220000000000005
689,YCR042C,0.107,,2.28
690,YCR043C,,,
691,YCR044C,,9.024000000000001,
692,YCR045C,0.1224,,7.47
693,YCR045W-A,,,
694,YCR046C,0.0663,8.898,11.718
695,YCR047C,0.109,4.638,11.868
696,YCR047W-A,,,
697,YCR048W,0.1286,,6.3180000000000005
698,YCR049C,0.0222,,4.476
699,YCR050C,,,
700,YCR051W,,11.502,
701,YCR052W,0.1471,7.4399999999999995,9.126000000000001
702,YCR053W,0.1422,55.584,8.292
703,YCR054C,,4.295999999999999,
704,YCR057C,,10.05,
705,YCR059C,,7.122,
706,YCR060W,0.0509,6.522,13.668
707,YCR061W,0.058,2.214,2.754
708,YCR063W,0.1161,0.30600000000000005,22.086
709,YCR064C,0.0495,0.204,10.878
710,YCR065W,0.2254,1.1099999999999999,11.975999999999999
711,YCR066W,0.0619,1.6199999999999999,3.81
712,YCR067C,0.0984,,2.772
713,YCR068W,0.118,0.9299999999999999,6.804
714,YCR069W,0.0928,,8.741999999999999
715,YCR071C,0.0489,,9.996
716,YCR072C,0.1817,7.032,10.572
717,YCR073C,,2.3939999999999997,
718,YCR073W-A,,6.138,
719,YCR075C,0.0399,0.3,4.596
720,YCR075W-A,,,
721,YCR076C,0.0493,,5.904
722,YCR077C,,5.454,
723,YCR079W,0.1362,,9.228
724,YCR081C-A,,,
725,YCR081W,,,
726,YCR082W,0.0381,19.740000000000002,8.892
727,YCR083W,0.0383,,8.988
728,YCR084C,0.2388,12.030000000000001,10.038
729,YCR085W,,,
730,YCR086W,0.0425,,6.696000000000001
731,YCR087C-A,,,
732,YCR087W,0.0462,,8.081999999999999
733,YCR088W,0.3926,5.1419999999999995,19.872
734,YCR089W,,,
735,YCR090C,,,
736,YCR091W,0.0645,1.062,2.682
737,YCR092C,,4.992,
738,YCR093W,,,
